model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_CNN_model_1_raw,1e-06,0.33,1,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,0.33,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,0.33,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_sigmoid_raw,1e-07,0.33,1,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,,1,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,,1,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,,1,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_sigmoid_raw,1e-06,,1,0.4528301886792453,0.9375,0.05172413793103448
CNN_model_paper_raw,1e-07,,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,,1,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,0.33,3,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,0.33,5,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,0.33,5,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,0.33,5,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,0.33,10,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,0.33,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,0.33,10,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,0.33,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,0.33,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,,10,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,,10,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,,10,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,,10,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,0.33,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,,10,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,0.33,20,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,0.33,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,0.33,20,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,0.33,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,0.33,20,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,0.33,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,0.33,20,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,0.33,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,0.33,20,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,0.33,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,0.33,10,0.4528301886792453,1.0,0.0
CNN_model_paper2_raw,1e-06,0.33,10,0.4528301886792453,1.0,0.0
cnn_model_succeeded_raw,1e-07,,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,,5,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,,5,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,,5,0.4528301886792453,1.0,0.0
CNN_model_paper2_raw,1e-05,,5,0.4528301886792453,1.0,0.0
cnn_model_succeeded_raw,1e-06,,5,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,,5,0.4528301886792453,1.0,0.0
CNN_model_paper2_raw,1e-07,,5,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,,5,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,0.33,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,,5,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,,5,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,0.33,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,,5,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,,5,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,0.33,10,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,,5,0.4528301886792453,1.0,0.0
cnn_model_succeeded_raw,1e-06,0.33,3,0.44339622641509435,0.7083333333333334,0.22413793103448276
simple_CNN_model_1_sigmoid_raw,1e-07,0.33,20,0.4339622641509434,0.9583333333333334,0.0
CNN_model_paper2_raw,1e-06,0.33,50,0.4339622641509434,0.9583333333333334,0.0
